gene_name	length	exons
A1BG	1774	8
A1BG-AS1	2134	4
A1CF	9727	16
A2M	4410	34
A2M-AS1	2190	3
A2ML1	4739	32
A2MP1	1210	9
A3GALT2	1028	5
A4GALT	2095	3
A4GNT	1774	3
AA06	635	3
AAAS	1853	16
AACS	3224	17
AACSP1	2180	7
AADAC	1611	5
AADACL2	1505	5
AADACL2-AS1	715	3
AADACL3	4053	4
AADACL4	1579	4
AADACP1	1292	3
AADAT	2822	17
AAED1	1231	6
AAGAB	3498	11
AAK1	21072	20
AAMDC	508	4
AAMP	2000	12
AANAT	2313	9
AAR2	2857	5
AARD	1788	2
AARS	2732	16
AARS2	4289	18
AARSD1	1376	12
AASDH	4524	15
AASDHPPT	2867	6
AASS	5648	22
AATBC	4600	2
AATF	2153	12
AATK	5238	14
AATK-AS1	1583	6
ABALON	1904	1
ABAT	5948	18
ABCA1	10022	46
ABCA10	5773	35
ABCA11P	1898	3
ABCA12	9050	52
ABCA13	15837	51
ABCA17P	4205	17
ABCA2	7666	45
ABCA3	6481	32
ABCA4	6282	43
ABCA5	8910	35
ABCA6	4858	35
ABCA7	6103	42
ABCA8	5533	36
ABCA9	5884	35
ABCA9-AS1	527	4
ABCB1	4219	26
ABCB10	3870	13
ABCB11	4494	26
ABCB4	3526	25
ABCB5	7470	28
ABCB6	3037	19
ABCB7	2623	17
ABCB8	4726	16
ABCB9	3923	14
ABCC1	6013	27
ABCC10	6453	22
ABCC11	4816	29
ABCC12	5033	27
ABCC13	2931	7
ABCC2	5222	30
ABCC3	4991	28
ABCC4	5714	27
ABCC5	6943	31
ABCC5-AS1	472	3
ABCC6	5257	28
ABCC6P1	2607	9
ABCC6P2	708	2
ABCC8	4685	37
ABCC9	8149	36
ABCD1	3527	9
ABCD2	5204	9
ABCD3	3429	19
ABCD4	3083	18
ABCE1	4340	19
ABCF1	4298	25
ABCF2	5021	16
ABCF3	2459	20
ABCG1	3664	21
ABCG2	4683	16
ABCG4	3951	16
ABCG5	2753	13
ABCG8	2678	13
ABHD1	1455	9
ABHD10	2812	6
ABHD11	3274	12
ABHD11-AS1	477	4
ABHD12	2425	14
ABHD12B	1601	12
ABHD13	5304	2
ABHD14A	1113	5
ABHD14A-ACY1	1896	17
ABHD14B	2681	5
ABHD15	3357	2
ABHD16A	2379	19
ABHD16B	1777	1
ABHD17A	1722	6
ABHD17B	3474	6
ABHD17C	2363	3
ABHD2	9148	15
ABHD3	2611	10
ABHD4	2516	7
ABHD5	5360	7
ABHD6	2402	9
ABHD8	2095	5
ABI1	3684	12
ABI2	7344	16
ABI3	2268	9
ABI3BP	3581	23
ABL1	6164	12
ABL2	22471	16
ABLIM1	8249	24
ABLIM2	5386	25
ABLIM3	5879	25
ABO	1586	7
ABR	6683	27
ABRA	2756	2
ABRACL	848	3
ABT1	2266	3
ABTB1	2092	14
ABTB2	4920	17
ACAA1	2371	13
ACAA2	1944	10
ACACA	9691	49
ACACB	8179	43
ACAD10	3969	21
ACAD11	3436	19
ACAD8	2041	10
ACAD9	2992	18
ACADL	2335	10
ACADM	2835	14
ACADS	2098	11
ACADSB	5952	11
ACADVL	2535	19
ACAN	8258	15
ACAP1	2419	21
ACAP2	7193	23
ACAP3	3783	24
ACAT1	2049	11
ACAT2	2317	11
ACBD3	3573	8
ACBD4	3332	16
ACBD5	4799	16
ACBD6	1624	8
ACBD7	3374	4
ACCS	2333	16
ACCSL	1834	14
ACD	2267	14
ACE	4039	18
ACE2	3526	19
ACER1	955	5
ACER2	2719	5
ACER3	7460	11
ACHE	5069	10
ACIN1	5162	21
ACKR1	3253	3
ACKR2	2963	3
ACKR3	2102	2
ACKR4	4848	3
ACLY	5546	31
ACMSD	1368	11
ACO1	3642	22
ACO2	2759	18
ACOT1	1606	3
ACOT11	3409	18
ACOT12	2004	15
ACOT13	4397	4
ACOT2	2413	5
ACOT4	1635	3
ACOT6	1006	2
ACOT7	2401	12
ACOT8	1177	6
ACOT9	1743	16
ACOX1	8243	15
ACOX2	2160	14
ACOX3	2768	17
ACOXL	2303	17
ACP1	2033	8
ACP2	2419	13
ACP5	1979	9
ACP6	1818	10
ACPP	4000	12
ACPT	1358	11
ACR	1375	5
ACRBP	1896	10
ACRC	3108	11
ACRV1	2185	8
ACSBG1	3072	15
ACSBG2	3598	20
ACSF2	2635	21
ACSF3	4441	14
ACSL1	4214	21
ACSL3	4378	17
ACSL4	5590	18
ACSL5	3528	21
ACSL6	6833	23
ACSM1	2064	13
ACSM2A	3584	17
ACSM2B	2456	15
ACSM3	2387	15
ACSM4	1756	13
ACSM5	2433	14
ACSM6	1724	11
ACSS1	4924	18
ACSS2	3213	20
ACSS3	2952	15
ACTA1	1499	7
ACTA2	1861	10
ACTA2-AS1	2048	5
ACTB	1818	6
ACTBL2	2795	1
ACTC1	3700	7
ACTG1	2961	9
ACTG1P17	1655	3
ACTG1P20	2653	1
ACTG1P4	1984	1
ACTG2	1177	8
ACTL10	2029	1
ACTL6A	2294	16
ACTL6B	1545	14
ACTL7A	1529	1
ACTL7B	1408	1
ACTL8	1864	3
ACTL9	1435	1
ACTN1	3813	22
ACTN1-AS1	603	4
ACTN2	5046	22
ACTN3	3353	22
ACTN4	3975	21
ACTR10	2373	12
ACTR1A	2884	11
ACTR1B	2269	11
ACTR2	3947	10
ACTR3	5894	13
ACTR3B	2229	12
ACTR3BP2	1339	1
ACTR3BP5	1646	1
ACTR3C	1429	9
ACTR5	2488	9
ACTR6	2988	14
ACTR8	3641	13
ACTRT1	1443	1
ACTRT2	1423	1
ACTRT3	2005	2
ACVR1	3124	12
ACVR1B	4649	10
ACVR1C	8855	9
ACVR2A	5591	13
ACVR2B	11239	10
ACVR2B-AS1	2519	2
ACVRL1	4481	11
ACY1	2042	17
ACY3	1308	8
ACYP1	1060	6
ACYP2	1226	4
ADA	1544	12
ADAD1	2707	17
ADAD2	2467	12
ADAL	4993	13
ADAM10	4528	13
ADAM11	4095	23
ADAM12	9716	24
ADAM15	3748	26
ADAM17	3260	16
ADAM18	3221	19
ADAM19	6356	21
ADAM1A	2841	1
ADAM2	2531	20
ADAM20	2794	2
ADAM20P1	3038	2
ADAM21	2666	2
ADAM21P1	2050	1
ADAM22	9312	29
ADAM23	5956	22
ADAM28	7638	22
ADAM29	3447	7
ADAM30	2993	1
ADAM32	2592	21
ADAM33	4346	20
ADAM3A	2942	23
ADAM5	1720	15
ADAM6	1845	2
ADAM7	3260	20
ADAM8	3102	21
ADAM9	3816	20
ADAMDEC1	2375	14
ADAMTS1	4483	8
ADAMTS10	4514	27
ADAMTS12	4687	22
ADAMTS13	5109	29
ADAMTS14	5146	21
ADAMTS15	5684	8
ADAMTS16	4997	23
ADAMTS17	6035	20
ADAMTS18	5936	23
ADAMTS19	4779	21
ADAMTS19-AS1	788	2
ADAMTS2	6959	22
ADAMTS20	5110	34
ADAMTS3	5445	19
ADAMTS4	4164	8
ADAMTS5	9494	7
ADAMTS6	7146	24
ADAMTS7	5514	24
ADAMTS7P1	5007	24
ADAMTS8	3672	9
ADAMTS9	6465	33
ADAMTS9-AS1	3933	3
ADAMTS9-AS2	2234	6
ADAMTSL1	7801	28
ADAMTSL2	4153	20
ADAMTSL3	9549	31
ADAMTSL4	4453	21
ADAMTSL4-AS1	1040	4
ADAMTSL5	2869	12
ADAP1	2804	15
ADAP2	2760	11
ADAR	7258	18
ADARB1	9658	15
ADARB2	8266	9
ADARB2-AS1	646	2
ADAT1	3670	12
ADAT2	7500	7
ADAT3	1628	2
ADCK1	2085	10
ADCK2	2242	7
ADCK3	2939	15
ADCK4	2513	16
ADCK5	2003	15
ADCY1	13248	23
ADCY10	5342	32
ADCY10P1	4386	22
ADCY2	6332	23
ADCY3	4257	20
ADCY4	3778	25
ADCY5	6119	21
ADCY6	8617	23
ADCY7	6291	27
ADCY8	3959	17
ADCY9	7738	11
ADCYAP1	3494	6
ADCYAP1R1	6631	17
ADD1	5189	19
ADD2	6052	19
ADD3	4644	16
ADD3-AS1	1285	5
ADGB	5105	34
ADGRA1	4285	8
ADGRA1-AS1	473	3
ADGRA2	5834	16
ADGRA3	4152	15
ADGRB1	5122	27
ADGRB2	5044	30
ADGRB3	5060	28
ADGRD1	5341	24
ADGRE1	3089	21
ADGRE2	6340	20
ADGRE3	2439	16
ADGRE4P	2748	16
ADGRE5	3364	19
ADGRF1	6096	16
ADGRF2	5137	11
ADGRF3	6411	18
ADGRF4	3172	10
ADGRF5	5872	21
ADGRG1	6538	22
ADGRG2	4828	28
ADGRG3	2682	12
ADGRG4	9877	25
ADGRG5	4054	13
ADGRG6	6940	25
ADGRG7	3914	16
ADGRL1	7751	23
ADGRL2	6178	23
ADGRL3	6148	23
ADGRL3-AS1	433	7
ADGRL4	3634	15
ADGRV1	16460	72
ADH1A	1369	8
ADH1B	2684	9
ADH1C	1627	8
ADH4	2154	10
ADH5	2660	9
ADH6	3155	10
ADH7	2267	9
ADHFE1	1909	14
ADI1	4621	5
ADIG	891	4
ADIPOQ	4633	4
ADIPOQ-AS1	3445	3
ADIPOR1	2434	11
ADIPOR2	3973	8
ADIRF	675	3
ADK	2451	12
ADM	1594	4
ADM2	4438	4
ADM5	2114	2
ADNP	6524	7
ADNP-AS1	1111	5
ADNP2	5391	4
ADO	3725	1
ADORA1	2923	4
ADORA2A	3129	7
ADORA2A-AS1	3772	11
ADORA2B	1887	2
ADORA3	4064	4
ADPGK	4637	9
ADPGK-AS1	2733	3
ADPRH	3687	5
ADPRHL1	2186	8
ADPRHL2	1697	6
ADPRM	1522	4
ADRA1A	3952	6
ADRA1B	2256	2
ADRA1D	2668	2
ADRA2A	3874	1
ADRA2B	3363	1
ADRA2C	1959	1
ADRB1	2863	1
ADRB2	2043	1
ADRB3	2648	2
ADRBK1	3397	20
ADRBK2	9008	20
ADRM1	1641	11
ADSL	1484	12
ADSS	2795	13
ADSSL1	2092	14
ADTRP	1865	7
AEBP1	3735	17
AEBP2	9410	11
AEN	3120	4
AES	3080	9
AFAP1	7409	16
AFAP1-AS1	6796	2
AFAP1L1	3888	17
AFAP1L2	4360	21
AFF1	15358	23
AFF2	14284	25
AFF3	8058	23
AFF4	9601	21
AFG3L1P	6001	16
AFG3L2	3226	17
AFM	1377	10
AFMID	2203	12
AFP	1553	11
AFTPH	5251	11
AGA	2153	10
AGAP1	11386	19
AGAP1-IT1	666	2
AGAP11	3065	11
AGAP2	6108	20
AGAP2-AS1	1533	2
AGAP3	5627	21
AGAP4	3028	11
AGAP5	2364	7
AGAP6	2710	7
AGAP7P	2414	7
AGAP9	2325	7
AGBL1	3384	23
AGBL1-AS1	908	4
AGBL2	3503	18
AGBL3	3477	16
AGBL4	3002	14
AGBL4-IT1	518	4
AGBL5	3647	17
AGBL5-AS1	409	2
AGER	2750	18
AGFG1	8839	15
AGFG2	4823	12
AGGF1	4522	14
AGK	2860	15
AGL	7997	33
AGMAT	3161	7
AGMO	2488	13
AGO1	7361	18
AGO2	3383	18
AGO3	3528	18
AGO4	6942	17
AGPAT1	2376	8
AGPAT2	1554	6
AGPAT3	6620	11
AGPAT4	7888	9
AGPAT4-IT1	1852	1
AGPAT5	5527	8
AGPAT6	6323	13
AGPAT9	3197	15
AGPS	7594	19
AGR2	926	7
AGR3	693	7
AGRN	6167	31
AGRP	768	4
AGT	2586	5
AGTPBP1	4491	26
AGTR1	2576	5
AGTR2	2902	3
AGTRAP	1462	7
AGXT	1512	10
AGXT2	2782	15
AHCTF1	8120	32
AHCTF1P1	8837	1
